Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF_0603,
"D1, D2",0603,2,LED_SMD_0603,
H1,MountingHole_2.5mm_Pad_Via,1,MountingHole_2.5mm,
J1,MOLEX_5055680471,1,5055680471,
J2,MOLEX_5055670471,1,5055670471,
"Q1, Q2",BC847,2,BC847,
"R1, R2, R5, R6, R7",0603,5,4K7_0603,
"R3, R8",0603,2,1K_0603,
R4,0603,1,10K_0603,
S3,Mounting_Wuerth_WA-SMSI-M1.6_H1mm_9774010633,1,Stud_Pad,
U1,XDCR_TCUT1300X01,1,TCUT1300X01,
